T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
23.813	23.938	23.813	23.938	23.688	23.875	23.813	23.938	23.813	23.938	23.813	24.000	23.875	24.000	23.500	23.875	
23.813	23.938	23.875	23.938	23.688	23.875	23.813	23.938	23.813	23.938	23.813	24.000	23.875	24.000	23.500	23.875	
23.813	24.000	23.875	23.938	23.688	23.875	23.813	23.938	23.875	23.938	23.813	24.000	23.875	24.063	23.500	23.938	
23.875	24.000	23.875	23.938	23.750	23.875	23.813	23.938	23.813	23.938	23.813	24.063	23.875	24.063	23.500	23.938	
23.875	24.000	23.875	23.938	23.750	23.938	23.813	23.938	23.875	23.938	23.813	24.063	23.938	24.063	23.563	23.938	
23.875	24.000	23.875	24.000	23.750	23.938	23.813	23.938	23.875	23.938	23.813	24.063	23.938	24.063	23.563	23.938	
23.875	24.000	23.875	24.000	23.750	23.938	23.813	24.000	23.875	23.938	23.875	24.063	23.938	24.063	23.563	23.938	
23.875	24.000	23.875	24.000	23.750	23.938	23.813	24.000	23.875	24.000	23.875	24.063	23.938	24.063	23.563	23.938	
23.875	24.063	23.875	24.000	23.750	23.938	23.875	24.000	23.875	24.000	23.875	24.063	23.938	24.063	23.563	24.000	
23.875	24.063	23.875	24.000	23.750	23.938	23.875	24.000	23.875	24.000	23.875	24.125	23.938	24.125	23.563	24.000	
23.938	24.063	23.938	24.063	23.813	24.000	23.875	24.000	23.938	24.063	23.875	24.125	23.938	24.125	23.625	24.000	
23.938	24.063	23.938	24.000	23.813	24.000	23.875	24.000	23.938	24.063	23.875	24.125	23.938	24.125	23.625	24.000	
23.938	24.063	23.938	24.063	23.813	24.000	23.875	24.063	23.938	24.063	23.938	24.125	24.000	24.125	23.625	24.000	
23.938	24.063	23.938	24.063	23.813	24.000	23.875	24.063	23.938	24.063	23.938	24.125	24.000	24.125	23.625	24.000	
23.938	24.125	23.938	24.063	23.813	24.000	23.875	24.063	23.938	24.063	23.938	24.125	24.000	24.125	23.625	24.000	
23.938	24.063	24.000	24.063	23.813	24.000	23.938	24.063	23.938	24.063	23.938	24.125	24.000	24.125	23.688	24.000	
24.000	24.125	24.000	24.063	23.875	24.063	23.938	24.063	24.000	24.063	23.938	24.188	24.000	24.188	23.688	24.063	
24.000	24.125	24.000	24.125	23.875	24.063	23.938	24.063	23.938	24.063	24.000	24.188	24.000	24.188	23.688	24.063	
24.000	24.125	24.000	24.125	23.875	24.063	23.938	24.063	24.000	24.125	24.000	24.188	24.000	24.188	23.688	24.063	
24.000	24.125	24.000	24.125	23.875	24.063	23.938	24.125	24.000	24.125	24.000	24.188	24.000	24.188	23.688	24.063	
24.000	24.125	24.000	24.125	23.875	24.063	23.938	24.125	24.000	24.125	24.000	24.188	24.063	24.188	23.688	24.063	
24.000	24.125	24.000	24.125	23.875	24.063	23.938	24.125	24.000	24.125	24.000	24.188	24.063	24.188	23.688	24.063	
24.000	24.188	24.063	24.125	23.875	24.063	24.000	24.125	24.000	24.125	24.000	24.250	24.063	24.250	23.688	24.125	
24.000	24.188	24.063	24.125	23.875	24.063	24.000	24.125	24.063	24.125	24.000	24.250	24.063	24.250	23.688	24.125	
24.063	24.188	24.063	24.125	23.938	24.125	24.000	24.125	24.063	24.125	24.063	24.250	24.063	24.250	23.750	24.125	
24.063	24.188	24.063	24.125	23.938	24.125	24.000	24.125	24.063	24.125	24.063	24.250	24.063	24.250	23.750	24.125	
24.063	24.188	24.063	24.188	23.938	24.125	24.000	24.188	24.063	24.188	24.063	24.250	24.125	24.250	23.750	24.125	
24.063	24.188	24.063	24.188	23.938	24.125	24.063	24.188	24.063	24.188	24.063	24.250	24.125	24.250	23.750	24.125	
24.063	24.250	24.125	24.188	23.938	24.125	24.063	24.188	24.063	24.188	24.063	24.313	24.125	24.313	23.750	24.188	
24.063	24.250	24.125	24.188	24.000	24.188	24.063	24.188	24.063	24.188	24.063	24.313	24.125	24.313	23.750	24.188	
24.125	24.250	24.125	24.188	24.000	24.188	24.063	24.188	24.125	24.250	24.125	24.313	24.125	24.313	23.813	24.188	
24.125	24.250	24.125	24.188	24.000	24.188	24.063	24.250	24.125	24.250	24.125	24.313	24.188	24.313	23.813	24.188	
24.125	24.250	24.125	24.250	24.000	24.188	24.063	24.250	24.125	24.250	24.125	24.313	24.188	24.313	23.813	24.188	
24.125	24.250	24.125	24.250	24.000	24.188	24.063	24.250	24.125	24.250	24.125	24.313	24.188	24.313	23.813	24.188	
24.125	24.313	24.188	24.250	24.000	24.188	24.125	24.250	24.188	24.250	24.125	24.313	24.188	24.313	23.813	24.188	
24.125	24.313	24.188	24.250	24.000	24.188	24.125	24.250	24.188	24.313	24.125	24.375	24.188	24.375	23.813	24.250	
24.188	24.313	24.188	24.313	24.063	24.250	24.125	24.250	24.125	24.313	24.125	24.375	24.188	24.375	23.875	24.250	
24.188	24.313	24.188	24.250	24.063	24.250	24.125	24.313	24.125	24.313	24.125	24.375	24.188	24.375	23.875	24.250	
24.188	24.313	24.188	24.313	24.063	24.250	24.125	24.313	24.188	24.313	24.188	24.375	24.250	24.375	23.875	24.250	
24.188	24.313	24.188	24.313	24.063	24.250	24.125	24.313	24.188	24.313	24.188	24.375	24.250	24.375	23.875	24.250	
24.188	24.375	24.250	24.313	24.063	24.250	24.125	24.313	24.188	24.313	24.188	24.375	24.250	24.375	23.875	24.313	
24.188	24.375	24.250	24.313	24.063	24.313	24.188	24.313	24.188	24.313	24.188	24.438	24.250	24.438	23.875	24.313	
24.188	24.375	24.250	24.375	24.125	24.313	24.188	24.375	24.250	24.375	24.188	24.438	24.250	24.438	23.938	24.313	
24.188	24.375	24.250	24.375	24.125	24.313	24.188	24.375	24.250	24.375	24.188	24.438	24.250	24.438	23.938	24.313	
24.250	24.375	24.250	24.375	24.125	24.313	24.188	24.375	24.250	24.375	24.250	24.438	24.313	24.438	23.938	24.313	
24.250	24.375	24.250	24.375	24.125	24.313	24.188	24.375	24.250	24.375	24.250	24.438	24.313	24.438	23.938	24.313	
24.250	24.438	24.250	24.375	24.125	24.375	24.250	24.375	24.250	24.375	24.250	24.500	24.313	24.500	23.938	24.375	
