T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
22.875	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.813	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.813	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.750	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.813	22.625	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.813	22.563	22.938	22.563	22.750	22.750	22.813	22.750	22.813	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.813	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.625	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.813	22.563	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.813	23.125	22.750	22.813	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.625	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.375	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
23.000	22.813	23.125	22.750	22.875	22.625	22.938	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.750	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.375	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.875	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.375	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	22.938	22.563	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.563	22.813	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.875	22.375	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.750	22.813	22.813	22.813	22.875	22.813	22.375	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.750	22.813	22.813	22.750	22.813	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
23.000	22.813	23.125	22.750	22.875	22.625	22.938	22.563	22.813	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.563	22.750	22.813	22.813	22.813	22.875	22.875	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.563	23.000	22.625	22.750	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	22.938	22.625	22.813	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.625	22.813	22.813	22.813	22.750	22.875	22.813	22.313	22.688	
22.938	22.813	23.125	22.750	22.875	22.625	23.000	22.563	22.813	22.813	22.813	22.813	22.875	22.875	22.313	22.688	
