T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.125	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.438	17.438	17.500	17.625	17.500	17.438	17.563	17.500	17.500	17.563	17.563	17.563	17.500	17.625	17.500	17.438	
17.500	17.438	17.500	17.625	17.500	17.438	17.563	17.563	17.500	17.563	17.563	17.563	17.563	17.625	17.500	17.438	
17.625	17.625	17.688	17.813	17.625	17.625	17.688	17.688	17.625	17.813	17.750	17.750	17.688	17.813	17.625	17.625	
17.625	17.625	17.688	17.813	17.625	17.625	17.688	17.688	17.625	17.750	17.750	17.750	17.688	17.813	17.625	17.625	
17.438	17.375	17.438	17.625	17.438	17.438	17.500	17.500	17.438	17.625	17.563	17.625	17.500	17.625	17.438	17.500	
17.438	17.375	17.438	17.625	17.438	17.438	17.500	17.500	17.438	17.625	17.563	17.625	17.500	17.625	17.438	17.438	
17.375	17.313	17.313	17.563	17.313	17.375	17.438	17.438	17.375	17.500	17.500	17.500	17.438	17.563	17.375	17.375	
17.375	17.313	17.313	17.563	17.313	17.375	17.438	17.438	17.375	17.500	17.500	17.500	17.438	17.563	17.375	17.375	
17.313	17.313	17.313	17.500	17.313	17.375	17.375	17.438	17.375	17.438	17.500	17.438	17.438	17.500	17.375	17.313	
17.313	17.313	17.313	17.500	17.313	17.313	17.375	17.438	17.375	17.438	17.438	17.438	17.438	17.500	17.375	17.313	
17.313	17.250	17.250	17.500	17.313	17.313	17.375	17.438	17.375	17.438	17.438	17.438	17.375	17.438	17.375	17.313	
17.313	17.313	17.250	17.500	17.313	17.313	17.375	17.438	17.375	17.438	17.438	17.438	17.375	17.438	17.375	17.313	
17.313	17.250	17.250	17.500	17.313	17.313	17.313	17.375	17.375	17.375	17.438	17.375	17.375	17.438	17.375	17.313	
17.313	17.250	17.250	17.500	17.313	17.313	17.375	17.375	17.313	17.375	17.438	17.438	17.375	17.438	17.375	17.313	
17.313	17.250	17.250	17.500	17.313	17.313	17.375	17.375	17.313	17.375	17.438	17.375	17.375	17.438	17.375	17.313	
17.313	17.250	17.250	17.500	17.313	17.313	17.313	17.375	17.313	17.375	17.375	17.375	17.375	17.438	17.375	17.313	
17.313	17.250	17.250	17.438	17.250	17.313	17.313	17.375	17.313	17.375	17.438	17.375	17.375	17.438	17.375	17.250	
17.313	17.250	17.250	17.438	17.250	17.313	17.313	17.375	17.313	17.375	17.375	17.375	17.375	17.438	17.313	17.250	
17.313	17.250	17.250	17.438	17.250	17.250	17.313	17.375	17.313	17.375	17.375	17.375	17.375	17.438	17.375	17.250	
17.313	17.250	17.250	17.438	17.250	17.313	17.313	17.375	17.313	17.375	17.375	17.375	17.375	17.438	17.375	17.250	
17.250	17.250	17.188	17.438	17.250	17.250	17.313	17.375	17.313	17.375	17.375	17.375	17.375	17.438	17.313	17.250	
17.250	17.250	17.250	17.438	17.250	17.250	17.313	17.375	17.313	17.375	17.375	17.375	17.375	17.438	17.375	17.250	
17.250	17.250	17.188	17.438	17.250	17.250	17.313	17.375	17.313	17.375	17.375	17.375	17.375	17.375	17.313	17.250	
17.250	17.250	17.188	17.438	17.250	17.250	17.313	17.375	17.313	17.313	17.375	17.375	17.313	17.375	17.313	17.250	
17.250	17.250	17.188	17.438	17.250	17.250	17.313	17.313	17.313	17.313	17.375	17.375	17.313	17.438	17.313	17.250	
17.250	17.250	17.188	17.438	17.250	17.250	17.313	17.375	17.313	17.313	17.375	17.375	17.313	17.438	17.313	17.250	
17.250	17.250	17.188	17.438	17.250	17.250	17.313	17.375	17.313	17.313	17.375	17.375	17.375	17.375	17.313	17.250	
17.250	17.250	17.188	17.438	17.250	17.250	17.313	17.375	17.313	17.313	17.375	17.375	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.375	17.313	17.313	17.375	17.375	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.313	17.313	17.375	17.375	17.375	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.313	17.313	17.375	17.375	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.313	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.313	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.375	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.313	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.313	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.375	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.250	
17.250	17.188	17.188	17.375	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.250	17.250	
17.250	17.188	17.188	17.375	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.188	17.250	17.250	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.438	17.188	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.438	17.250	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.188	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.188	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.250	17.188	17.250	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.250	17.250	17.250	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.188	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.188	17.250	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.250	17.188	17.313	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.313	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.375	17.313	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.313	17.375	17.313	17.313	17.313	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.250	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.250	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.375	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.250	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.375	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.375	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.250	17.313	17.375	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.250	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.375	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.375	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.250	17.375	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.375	17.250	17.188	
17.188	17.125	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.250	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.250	17.313	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.250	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.188	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.375	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.250	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.313	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.250	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.313	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.188	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.125	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.125	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.125	17.188	17.250	17.250	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.125	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.125	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.125	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.125	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.125	
17.188	17.125	17.125	17.375	17.125	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.188	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.313	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
17.188	17.125	17.125	17.375	17.188	17.188	17.250	17.250	17.250	17.250	17.313	17.250	17.250	17.313	17.250	17.188	
